free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,W_ID
22.0,46.0,0.9988,3.32,0.67,9.7,6,113
12.0,47.0,0.9964,3.19,0.93,9.5,5,114
13.0,62.0,0.9966,3.07,0.63,10.5,6,115
11.0,40.0,0.9978,3.39,0.61,10.0,6,116
7.0,28.0,0.997,3.37,0.5,9.4,6,117
14.0,56.0,0.9962,3.21,0.6,10.9,6,118
22.0,89.0,0.9959,3.34,0.54,9.2,6,119
10.0,89.0,0.9962,3.3,0.57,9.0,5,120
14.0,56.0,0.9962,3.21,0.6,10.9,6,121
3.0,13.0,0.998,3.49,0.52,9.2,5,122
11.0,34.0,0.9976,3.44,0.53,9.5,5,123
21.0,102.0,0.996,3.39,0.48,9.5,5,124
27.0,90.0,0.9984,3.16,0.7,9.4,5,125
3.0,12.0,0.9964,3.53,0.49,10.9,5,126
3.0,12.0,0.9964,3.54,0.48,10.9,5,127
3.0,16.0,0.9962,3.42,0.92,10.5,7,128
6.0,19.0,0.9955,3.42,0.57,9.4,5,129
30.0,134.0,0.9968,3.24,0.66,9.4,5,130
17.0,99.0,0.9937,3.63,0.63,13.0,5,131
17.0,99.0,0.9937,3.63,0.63,13.0,5,132
17.0,26.0,0.9952,3.4,0.58,9.8,6,133
13.0,29.0,0.9959,3.22,0.55,9.9,6,134
16.0,63.0,0.9965,3.19,0.82,9.6,5,135
10.0,52.0,0.9968,3.23,0.77,9.5,5,136
13.0,45.0,0.9972,3.48,0.64,9.2,5,137
15.0,105.0,0.9962,3.33,0.54,9.5,5,138
17.0,108.0,0.9962,3.32,0.54,9.5,5,139
16.0,63.0,0.9965,3.19,0.82,9.6,5,140
10.0,52.0,0.9968,3.23,0.77,9.5,5,141
27.0,63.0,0.9916,3.68,0.79,14.0,6,142
3.0,20.0,0.9954,3.34,0.58,9.4,5,143
27.0,63.0,0.9916,3.68,0.79,14.0,6,144
32.0,141.0,0.9968,3.17,0.62,9.4,5,145
21.0,94.0,0.9944,3.54,0.52,10.0,5,146
10.0,88.0,0.9968,3.11,0.8,9.3,5,147
12.0,30.0,0.9959,3.42,0.58,10.2,6,148
11.0,43.0,0.9975,3.53,0.61,10.5,6,149
5.0,11.0,0.9958,3.33,0.53,10.3,6,150
32.0,69.0,0.9996,2.74,2.0,9.4,4,151
25.0,99.0,0.995,3.35,0.54,10.1,5,152
25.0,99.0,0.995,3.35,0.54,10.1,5,153
29.0,129.0,0.9973,3.42,0.72,10.5,5,154
28.0,128.0,0.9973,3.42,0.71,10.5,5,155
29.0,129.0,0.9973,3.42,0.72,10.5,5,156
28.0,128.0,0.9973,3.42,0.71,10.5,5,157
12.0,22.0,0.9969,3.48,0.5,9.3,5,158
18.0,86.0,0.9968,3.59,0.57,9.3,6,159
7.0,20.0,0.9959,3.2,0.56,9.6,5,160
9.0,20.0,0.9965,3.17,1.08,9.2,4,161
17.0,31.0,0.9964,3.33,0.56,10.0,6,162
36.0,121.0,0.9982,3.37,0.49,9.4,5,163
35.0,121.0,0.9981,3.37,0.49,9.4,5,164
14.0,96.0,0.9961,3.19,0.62,9.5,5,165
18.0,101.0,0.9956,3.34,0.52,10.2,5,166
17.0,42.0,0.9956,3.37,0.48,9.0,4,167
11.0,44.0,0.9953,3.47,0.55,10.4,6,168
15.0,63.0,0.9964,3.0,1.59,9.5,5,169
4.0,8.0,0.9972,3.36,0.33,9.1,4,170
6.0,18.0,0.9972,3.29,0.61,9.2,6,171
6.0,18.0,0.9972,3.29,0.61,9.2,6,172
24.0,42.0,0.9961,3.42,0.57,11.5,6,173
7.0,35.0,0.9961,3.33,0.47,9.5,5,174
19.0,49.0,0.9958,3.35,0.78,9.5,5,175
7.0,35.0,0.9961,3.33,0.47,9.5,5,176
8.0,38.0,0.9972,3.58,0.61,10.5,6,177
7.0,20.0,0.9969,3.48,0.56,9.6,5,178
10.0,42.0,0.9969,3.19,0.59,9.5,5,179
10.0,42.0,0.9969,3.19,0.59,9.5,5,180
23.0,110.0,0.9972,3.12,1.02,9.3,5,181
16.0,42.0,0.9972,3.44,0.52,9.3,5,182
11.0,65.0,0.9971,3.54,0.58,9.3,5,183
8.0,62.0,0.997,3.52,0.58,9.3,6,184
26.0,85.0,0.9971,3.26,0.53,9.7,5,185
14.0,67.0,0.9972,3.34,0.55,9.2,5,186
9.0,26.0,0.9976,3.39,0.49,9.7,5,187
15.0,143.0,0.9968,3.2,0.55,9.5,5,188
17.0,144.0,0.9968,3.2,0.55,9.5,5,189
21.0,127.0,0.9976,3.23,0.62,9.4,5,190
21.0,49.0,0.9974,3.57,0.62,9.8,6,191
16.0,126.0,0.9969,3.28,0.61,9.5,5,192
7.0,28.0,0.9964,3.28,0.55,9.7,5,193
7.0,28.0,0.9964,3.28,0.55,9.7,5,194
24.0,120.0,0.9968,3.25,0.54,9.4,5,195
15.0,55.0,0.9968,3.46,0.59,10.2,5,196
12.0,27.0,0.9981,3.11,0.97,10.1,6,197
13.0,93.0,0.9924,3.57,0.85,13.0,7,198
12.0,31.0,0.9948,3.51,0.43,11.4,4,199
9.0,24.0,0.99695,3.22,0.82,10.3,7,200
39.0,145.0,0.9975,3.04,1.03,9.3,5,201
16.0,49.0,0.99545,3.36,0.79,9.5,5,202
16.0,39.0,0.9961,3.34,0.55,9.2,5,203
14.0,37.0,0.99615,3.34,0.56,9.2,6,204
9.0,28.0,0.9994,3.2,0.77,10.8,7,205
9.0,28.0,0.9994,3.2,0.77,10.8,7,206
26.0,120.0,0.99625,3.29,0.53,9.3,5,207
18.0,95.0,0.9966,3.22,0.67,9.4,5,208
7.0,19.0,0.998,3.31,0.88,10.5,7,209
5.0,19.0,0.99585,3.3,0.86,12.4,6,210
10.0,62.0,0.99685,3.35,0.56,10.0,6,211
5.0,15.0,0.998,3.21,0.67,10.2,6,212
28.0,65.0,0.9959,3.3,0.43,10.1,5,213
10.0,41.0,0.9974,3.24,0.71,9.8,6,214
26.0,121.0,0.9974,3.34,0.76,10.5,5,215
13.0,49.0,0.9962,3.14,0.57,11.0,5,216
11.0,41.0,0.9967,3.36,0.55,9.1,5,217
10.0,44.0,0.9957,3.39,0.54,9.7,5,218
24.0,144.0,0.99655,3.3,0.6,9.5,5,219
24.0,58.0,0.9964,3.34,0.59,9.4,6,220
16.0,72.0,0.9957,3.15,0.57,9.4,5,221
5.0,10.0,0.99525,3.42,0.6,9.5,5,222
8.0,28.0,0.99815,3.28,0.6,10.0,6,223
15.0,55.0,0.99745,3.31,0.57,10.4,4,224
29.0,63.0,0.99615,3.37,0.58,10.5,6,225
27.0,81.0,0.9964,3.04,1.61,9.5,6,226
9.0,23.0,0.9984,3.39,0.63,9.8,5,227
29.0,63.0,0.99615,3.37,0.58,10.5,6,228
10.0,37.0,0.99685,3.46,0.5,11.0,5,229
19.0,106.0,0.9927,3.54,0.62,12.2,7,230
12.0,49.0,0.99625,3.37,0.52,9.9,6,231
18.0,58.0,0.998,3.34,0.7,9.6,6,232
10.0,37.0,0.99685,3.46,0.5,11.0,5,233
7.0,37.0,0.99685,3.32,0.55,9.0,6,234
14.0,38.0,0.99675,3.37,0.58,9.0,6,235
14.0,38.0,0.99675,3.37,0.58,9.0,6,236
15.0,39.0,0.99675,3.37,0.58,9.2,6,237
14.0,38.0,0.99675,3.37,0.58,9.0,6,238
7.0,37.0,0.99685,3.32,0.55,9.0,6,239
5.0,62.0,0.9971,3.0,1.09,9.3,5,240
6.0,24.0,0.99925,3.14,0.71,10.9,6,241
28.0,109.0,0.99565,3.08,0.49,9.8,6,242
10.0,24.0,1.00005,3.07,0.84,9.2,7,243
10.0,24.0,1.00005,3.07,0.84,9.2,7,244
6.0,23.0,0.9983,3.61,0.96,9.9,6,245
16.0,51.0,0.99685,3.38,0.52,9.5,5,246
11.0,73.0,0.9963,3.2,0.45,9.3,5,247
9.0,39.0,0.99615,3.35,0.48,9.8,6,248
6.0,23.0,0.9983,3.61,0.96,9.9,6,249
16.0,37.0,0.9985,3.22,0.78,10.0,6,250
16.0,34.0,0.9972,3.47,0.7,9.9,6,251
5.0,21.0,0.9986,3.17,0.53,10.5,5,252
8.0,86.0,0.9959,3.23,0.59,9.5,5,253
16.0,34.0,0.9972,3.47,0.7,9.9,6,254
17.0,119.0,0.99675,3.26,0.57,9.3,5,255
5.0,13.0,0.998,3.22,0.62,9.2,5,256
12.0,56.0,0.9968,3.49,0.67,9.2,5,257
8.0,45.0,0.9968,3.06,1.26,9.4,5,258
14.0,33.0,0.99965,3.36,0.8,10.5,7,259
18.0,45.0,0.99625,3.29,0.65,9.3,5,260
12.0,67.0,0.99565,3.35,0.6,9.4,4,261
10.0,35.0,0.99575,3.34,0.57,10.0,5,262
23.0,49.0,0.9963,3.28,0.67,9.3,5,263
5.0,27.0,0.9999,3.08,0.87,10.9,5,264
6.0,10.0,0.9968,3.2,0.72,10.2,7,265
26.0,61.0,1.00025,3.6,0.72,9.8,4,266
15.0,37.0,0.9973,3.35,0.86,12.8,8,267
7.0,27.0,0.9987,3.69,0.91,9.4,6,268
4.0,23.0,0.9996,3.28,0.97,10.1,6,269
27.0,61.0,0.9965,3.36,0.67,10.7,6,270
4.0,23.0,0.9996,3.28,0.97,10.1,6,271
17.0,65.0,0.99935,3.22,0.78,10.1,5,272
10.0,38.0,0.99735,3.31,0.64,9.4,5,273
27.0,94.0,0.99915,3.38,0.77,9.4,5,274
27.0,61.0,0.9965,3.36,0.67,10.7,6,275
7.0,27.0,0.9987,3.69,0.91,9.4,6,276
4.0,23.0,0.9996,3.28,0.97,10.1,6,277
5.0,13.0,0.9976,3.23,0.82,12.6,8,278
10.0,47.0,0.9991,3.38,0.77,10.5,7,279
6.0,19.0,0.9986,3.12,0.82,9.3,6,280
5.0,10.0,0.9972,3.25,1.08,9.9,7,281
12.0,53.0,0.9971,3.36,0.57,9.1,5,282
10.0,47.0,0.9991,3.38,0.77,10.5,7,283
32.0,71.0,1.00015,3.31,0.71,9.8,5,284
32.0,71.0,1.00015,3.31,0.71,9.8,5,285
25.0,49.0,0.9997,3.1,0.76,10.3,6,286
29.0,53.0,0.9967,3.37,0.7,10.3,6,287
20.0,49.0,0.9976,3.34,0.86,10.6,7,288
33.0,98.0,1.001,3.2,0.95,9.2,5,289
20.0,49.0,0.9976,3.34,0.86,10.6,7,290
6.0,18.0,0.9979,3.3,0.71,10.5,5,291
18.0,48.0,0.9994,3.22,0.64,10.3,6,292
5.0,16.0,0.9964,3.41,0.6,10.1,6,293
17.0,53.0,1.0014,3.05,0.81,9.5,6,294
5.0,27.0,1.0001,3.05,0.64,9.5,5,295
26.0,70.0,0.9981,3.16,0.52,9.9,5,296
8.0,29.0,0.99855,3.67,0.73,9.6,5,297
5.0,31.0,0.9993,3.67,0.8,9.7,5,298
8.0,33.0,0.99845,3.68,0.71,9.6,5,299
20.0,44.0,0.9965,3.38,0.59,10.7,6,300
7.0,15.0,0.9973,3.22,0.64,10.1,6,301
12.0,28.0,0.9994,3.51,0.72,10.0,5,302
5.0,21.0,0.996,3.39,0.54,9.5,5,303
12.0,90.0,0.9973,3.2,0.52,9.2,5,304
6.0,25.0,0.9998,3.12,0.59,9.3,6,305
7.0,54.0,0.9966,3.36,0.52,9.4,5,306
6.0,14.0,0.9994,3.19,0.62,9.5,6,307
5.0,12.0,0.9994,3.19,0.63,9.5,6,308
9.0,30.0,0.9968,3.41,0.53,9.5,6,309
6.0,25.0,0.9998,3.12,0.59,9.3,6,310
15.0,105.0,0.996,3.27,0.54,9.4,6,311
19.0,98.0,0.99815,3.32,0.63,9.5,6,312
30.0,135.0,0.9976,3.3,0.53,9.4,5,313
26.0,72.0,0.99645,3.39,0.68,11.0,5,314
20.0,53.0,0.9962,3.42,0.65,11.0,6,315
37.0,92.0,0.9996,3.3,0.65,10.1,5,316
30.0,74.0,0.99865,3.3,0.64,10.4,6,317
21.0,59.0,0.9989,3.37,0.71,11.5,7,318
30.0,74.0,0.99865,3.3,0.64,10.4,6,319
21.0,59.0,0.9989,3.37,0.71,11.5,7,320
25.0,87.0,0.99975,3.24,0.62,9.7,5,321
6.0,18.0,0.99735,3.29,0.63,9.3,5,322
35.0,73.0,0.999,3.28,0.7,9.5,6,323
13.0,50.0,1.0015,3.16,0.69,9.2,6,324
13.0,50.0,1.0015,3.16,0.69,9.2,6,325
6.0,14.0,0.9978,3.05,0.74,11.5,7,326
5.0,13.0,0.998,3.28,0.83,11.5,5,327
6.0,21.0,1.0002,3.16,0.67,9.7,6,328
7.0,15.0,0.9981,3.18,0.62,9.5,5,329
10.0,41.0,0.998,3.23,0.66,12.5,6,330
10.0,41.0,0.998,3.23,0.66,12.5,6,331
21.0,114.0,0.9973,3.22,0.54,9.4,6,332
16.0,44.0,0.9958,3.13,0.52,11.0,5,333
17.0,38.0,0.9963,3.34,0.74,11.7,7,334
7.0,21.0,0.9992,3.17,0.84,12.2,7,335
6.0,16.0,0.9948,3.35,0.7,12.5,6,336
29.0,58.0,0.9974,3.31,0.64,10.3,5,337
28.0,99.0,1.0008,3.16,1.0,11.5,6,338
12.0,29.0,0.9997,3.11,1.36,9.8,7,339
10.0,21.0,1.0,3.12,1.18,9.2,6,340
5.0,18.0,0.9972,3.21,0.87,11.3,6,341
6.0,14.0,0.9982,3.3,0.75,9.8,6,342
6.0,14.0,0.9982,3.3,0.75,9.8,6,343
6.0,32.0,1.0006,3.12,0.78,10.7,6,344
40.0,63.0,0.9979,3.6,0.81,9.9,5,345
17.0,34.0,0.9955,3.58,0.89,12.3,7,346
6.0,15.0,0.9986,3.02,0.93,12.0,6,347
15.0,46.0,0.9979,3.11,0.92,10.0,6,348
11.0,28.0,0.9994,3.36,0.86,9.4,6,349
17.0,34.0,1.0004,3.28,0.98,9.9,6,350
11.0,26.0,0.9994,3.35,0.83,9.4,6,351
8.0,19.0,0.9974,3.27,0.73,9.3,5,352
23.0,77.0,1.0018,3.18,0.77,13.0,5,353
40.5,165.0,0.9912,3.25,0.59,11.9,6,354
17.0,32.0,0.9955,3.55,0.61,12.8,6,355
29.0,55.0,1.0001,3.26,0.88,11.0,5,356
12.0,29.0,0.997,3.24,0.75,11.7,7,357
10.0,23.0,1.0,3.15,0.85,10.4,7,358
10.0,41.0,1.001,3.17,0.68,9.8,6,359
14.0,81.0,0.9973,3.19,0.7,9.4,5,360
21.0,50.0,0.9982,3.37,0.91,9.9,6,361
6.0,37.0,0.9992,3.05,0.56,10.0,5,362
6.0,15.0,0.9988,2.99,0.87,10.2,5,363
7.0,42.0,1.0022,3.07,0.73,10.0,7,364
7.0,21.0,0.9979,3.26,0.93,11.8,6,365
7.0,42.0,1.0022,3.07,0.73,10.0,7,366
11.0,24.0,1.0,3.16,0.69,9.0,5,367
15.0,75.0,0.9998,3.18,0.64,9.4,5,368
6.0,18.0,0.9962,3.2,1.13,12.0,7,369
35.0,63.0,0.9975,3.57,0.78,9.9,5,370
11.0,25.0,0.9967,3.32,0.87,8.7,6,371
26.0,46.0,0.9967,3.32,1.04,10.6,6,372
12.0,72.0,0.9959,3.05,0.63,9.2,5,373
6.0,47.0,1.0014,3.01,0.81,10.8,6,374
6.0,15.0,0.9984,3.01,0.83,11.8,7,375
19.0,47.0,1.0003,3.26,1.11,11.0,6,376
6.0,18.0,0.9962,3.2,1.13,12.0,7,377
6.0,24.0,0.9988,3.11,0.99,13.3,6,378
24.0,60.0,0.9979,3.31,0.7,10.8,6,379
11.0,27.0,0.9974,3.21,0.8,9.4,6,380
17.0,43.0,1.0014,3.06,0.8,10.0,6,381
11.0,27.0,0.9974,3.21,0.8,9.4,6,382
11.0,27.0,0.9974,3.21,0.8,9.4,6,383
23.0,54.0,0.998,3.42,0.74,9.2,5,384
11.0,37.0,0.9979,3.43,0.76,9.7,6,385
23.0,48.0,0.9981,3.41,0.74,9.2,6,386
17.0,42.0,0.9972,3.31,0.54,9.6,6,387
23.0,53.0,0.9981,3.43,0.74,9.2,6,388
16.0,49.0,0.9982,3.19,0.7,10.0,7,389
12.0,88.0,0.9924,3.56,0.82,12.9,8,390
17.0,43.0,1.0014,3.06,0.8,10.0,6,391
6.0,26.0,0.998,3.18,0.51,9.5,5,392
13.0,95.0,0.997,3.16,0.54,9.1,5,393
6.0,25.0,0.9997,3.03,0.57,9.9,5,394
7.0,38.0,1.0004,3.22,0.6,13.0,7,395
68.0,124.0,0.9994,3.47,0.53,9.9,5,396
13.0,49.0,0.9988,3.18,0.65,11.0,6,397
13.0,49.0,0.9988,3.18,0.65,11.0,6,398
9.0,42.0,0.9963,3.1,0.55,9.4,5,399
68.0,124.0,0.9994,3.47,0.53,9.9,5,400
20.0,38.0,0.9949,3.29,0.47,10.8,6,401
19.0,64.0,1.0,3.1,0.61,10.5,6,402
10.0,41.0,0.9994,3.15,0.63,10.5,6,403
15.0,27.0,0.9974,3.26,0.61,9.1,5,404
11.0,25.0,0.9966,3.36,0.76,10.1,6,405
9.0,28.0,0.9981,3.24,0.65,10.8,6,406
12.0,30.0,0.9996,3.18,0.63,10.8,7,407
6.0,16.0,0.997,3.19,0.7,11.3,6,408
26.0,49.0,0.9981,3.05,0.57,9.6,4,409
26.0,86.0,0.9987,3.38,0.62,9.5,6,410
23.0,78.0,0.9987,3.38,0.62,9.5,5,411
15.0,77.0,0.9966,3.27,0.64,9.3,5,412
6.0,19.0,0.9986,3.27,0.82,11.7,7,413
24.0,122.0,0.9982,3.26,0.61,9.5,5,414
31.0,134.0,1.0014,3.32,1.07,9.3,5,415
6.0,20.0,0.997,3.26,0.66,11.7,6,416
34.0,124.0,0.9956,3.44,0.48,10.5,5,417
7.0,20.0,0.9996,3.24,0.76,10.4,6,418
34.0,52.0,0.9976,3.62,0.68,9.9,5,419
35.0,67.0,0.9972,3.28,0.73,11.8,7,420
32.0,48.0,0.9952,3.52,0.56,12.3,7,421
15.0,60.0,0.9955,3.36,0.44,10.9,5,422
6.0,24.0,0.9978,3.15,0.9,11.0,7,423
15.0,60.0,0.9955,3.36,0.44,10.9,5,424
32.0,48.0,0.9952,3.52,0.56,12.3,7,425
19.0,48.0,0.9949,3.49,0.49,11.4,6,426
6.0,32.0,0.9988,3.26,0.56,10.6,6,427
9.0,30.0,0.9978,3.24,0.6,9.3,5,428
13.0,35.0,0.9997,3.1,0.6,10.4,6,429
6.0,24.0,0.9978,3.15,0.9,11.0,7,430
21.0,66.0,0.9974,3.25,0.56,9.2,5,431
12.0,24.0,0.9958,3.0,0.65,12.8,6,432
6.0,18.0,1.0004,3.16,0.49,9.5,5,433
22.0,54.0,0.9996,3.15,0.89,9.9,6,434
6.0,18.0,1.0004,3.16,0.49,9.5,5,435
38.0,62.0,0.9958,3.26,0.56,10.2,6,436
6.0,22.0,0.9986,3.17,0.66,11.2,6,437
22.0,54.0,0.9996,3.15,0.89,9.9,6,438
7.0,50.0,0.9951,3.08,0.6,9.3,5,439
6.0,29.0,0.9987,2.88,0.82,9.8,8,440
7.0,27.0,0.9988,3.06,0.68,11.3,6,441
6.0,43.0,1.0032,2.95,0.68,11.2,7,442
11.0,19.0,0.9963,3.23,0.63,11.6,7,443
5.0,27.0,0.9934,3.57,0.84,12.5,7,444
6.0,31.0,0.9986,3.23,0.56,10.1,6,445
31.0,72.0,0.9996,3.1,0.73,10.5,5,446
6.0,16.0,0.9968,3.22,0.72,11.2,5,447
7.0,27.0,0.9967,3.2,0.56,10.2,6,448
17.0,35.0,0.9994,3.1,0.61,10.8,6,449
17.0,35.0,0.9994,3.1,0.61,10.8,6,450
9.0,26.0,0.9979,3.06,1.06,9.1,6,451
18.0,35.0,0.9968,3.44,0.63,10.0,6,452
5.0,22.0,0.9998,3.26,0.74,11.2,7,453
21.0,67.0,0.9952,3.5,0.63,11.1,5,454
6.0,19.0,0.9988,3.22,0.69,13.4,8,455
5.0,22.0,0.9986,3.37,0.58,10.3,5,456
29.0,65.0,0.9988,3.28,0.58,9.6,5,457
5.0,22.0,0.9998,3.26,0.74,11.2,7,458
10.0,47.0,1.0008,3.25,0.57,9.0,3,459
14.0,23.0,0.9976,3.35,0.61,11.3,6,460
6.0,19.0,0.9982,3.26,0.61,9.3,5,461
10.0,25.0,0.997,3.18,0.61,11.8,5,462
25.0,129.0,0.9972,3.08,0.53,9.0,5,463
5.0,15.0,0.9987,2.98,0.7,9.2,6,464
10.0,26.0,1.0006,3.48,0.91,9.7,5,465
21.0,51.0,0.9982,3.16,0.72,11.5,6,466
7.0,18.0,0.9947,3.32,0.79,14.0,6,467
6.0,21.0,1.0,3.17,0.62,9.2,6,468
36.0,48.0,0.9952,3.2,0.58,9.8,5,469
15.0,47.0,0.9996,3.05,0.61,10.6,5,470
25.0,52.0,0.997,3.2,0.71,11.4,6,471
25.0,68.0,0.9995,3.15,0.82,10.4,6,472
5.0,14.0,0.9971,3.26,0.79,10.6,5,473
10.0,24.0,0.9982,3.2,0.89,9.4,6,474
5.0,28.0,0.9988,3.14,0.6,10.2,5,475
6.0,16.0,0.998,3.28,0.7,9.7,5,476
6.0,20.0,0.9977,3.18,1.06,11.0,6,477
5.0,28.0,0.9988,3.14,0.6,10.2,5,478
6.0,31.0,0.9984,3.19,0.7,10.1,6,479
6.0,23.0,1.0026,3.12,0.66,9.2,5,480
