density,free sulfur dioxide,pH,quality,W_ID
0.9967,15.0,3.32,6,70
0.9962,17.0,3.32,5,71
0.9961,18.0,3.31,5,72
0.9976,11.0,3.31,4,73
0.9984,28.0,3.28,5,74
0.9986,9.0,3.54,5,75
0.9986,9.0,3.54,5,76
0.9966,14.0,3.52,6,77
0.9958,12.0,3.38,5,78
0.9972,27.0,3.16,4,79
0.9958,3.0,3.41,5,80
0.9974,22.0,3.13,5,81
0.997,21.0,3.36,5,82
0.9969,16.0,3.16,5,83
0.9959,18.0,3.44,6,84
0.9961,19.0,3.41,5,85
0.9972,20.0,2.93,6,86
0.9966,9.0,3.39,5,87
0.9978,34.0,3.14,5,88
0.9978,8.0,3.48,5,89
0.9964,42.0,3.23,5,90
0.9972,20.0,2.93,6,91
0.9972,19.0,2.93,5,92
0.9966,9.0,3.39,5,93
0.9938,41.0,3.75,4,94
0.9932,17.0,3.85,6,95
0.9965,8.0,3.45,5,96
0.9963,3.0,3.25,5,97
0.9967,5.0,3.39,5,98
0.9972,13.0,3.3,6,99
0.9972,11.0,3.4,6,100
0.9959,8.0,3.31,6,101
0.9972,13.0,3.3,6,102
0.9967,12.0,3.29,5,103
0.996,5.0,3.33,5,104
0.9967,12.0,3.29,5,105
0.9973,18.0,3.08,5,106
0.9969,15.0,3.46,5,107
0.9976,18.0,3.37,6,108
0.9969,37.0,3.21,5,109
0.9964,12.0,3.19,5,110
0.9964,11.0,3.15,5,111
0.9964,14.0,3.15,5,112
0.9988,22.0,3.32,6,113
0.9964,12.0,3.19,5,114
0.9966,13.0,3.07,6,115
0.9978,11.0,3.39,6,116
0.997,7.0,3.37,6,117
0.9962,14.0,3.21,6,118
0.9959,22.0,3.34,6,119
0.9962,10.0,3.3,5,120
0.9962,14.0,3.21,6,121
0.998,3.0,3.49,5,122
0.9976,11.0,3.44,5,123
0.996,21.0,3.39,5,124
0.9984,27.0,3.16,5,125
0.9964,3.0,3.53,5,126
0.9964,3.0,3.54,5,127
0.9962,3.0,3.42,7,128
0.9955,6.0,3.42,5,129
0.9968,30.0,3.24,5,130
0.9937,17.0,3.63,5,131
0.9937,17.0,3.63,5,132
0.9952,17.0,3.4,6,133
0.9959,13.0,3.22,6,134
0.9965,16.0,3.19,5,135
0.9968,10.0,3.23,5,136
0.9972,13.0,3.48,5,137
0.9962,15.0,3.33,5,138
0.9962,17.0,3.32,5,139
0.9965,16.0,3.19,5,140
0.9968,10.0,3.23,5,141
0.9916,27.0,3.68,6,142
0.9954,3.0,3.34,5,143
0.9916,27.0,3.68,6,144
0.9968,32.0,3.17,5,145
0.9944,21.0,3.54,5,146
0.9968,10.0,3.11,5,147
0.9959,12.0,3.42,6,148
0.9975,11.0,3.53,6,149
0.9958,5.0,3.33,6,150
0.9996,32.0,2.74,4,151
0.995,25.0,3.35,5,152
0.995,25.0,3.35,5,153
0.9973,29.0,3.42,5,154
0.9973,28.0,3.42,5,155
0.9973,29.0,3.42,5,156
0.9973,28.0,3.42,5,157
0.9969,12.0,3.48,5,158
0.9968,18.0,3.59,6,159
0.9959,7.0,3.2,5,160
0.9965,9.0,3.17,4,161
0.9964,17.0,3.33,6,162
0.9982,36.0,3.37,5,163
0.9981,35.0,3.37,5,164
0.9961,14.0,3.19,5,165
0.9956,18.0,3.34,5,166
0.9956,17.0,3.37,4,167
0.9953,11.0,3.47,6,168
0.9964,15.0,3.0,5,169
0.9972,4.0,3.36,4,170
0.9972,6.0,3.29,6,171
0.9972,6.0,3.29,6,172
0.9961,24.0,3.42,6,173
0.9961,7.0,3.33,5,174
0.9958,19.0,3.35,5,175
0.9961,7.0,3.33,5,176
0.9972,8.0,3.58,6,177
0.9969,7.0,3.48,5,178
0.9969,10.0,3.19,5,179
0.9969,10.0,3.19,5,180
0.9972,23.0,3.12,5,181
0.9972,16.0,3.44,5,182
0.9971,11.0,3.54,5,183
0.997,8.0,3.52,6,184
0.9971,26.0,3.26,5,185
0.9972,14.0,3.34,5,186
0.9976,9.0,3.39,5,187
0.9968,15.0,3.2,5,188
0.9968,17.0,3.2,5,189
0.9976,21.0,3.23,5,190
0.9974,21.0,3.57,6,191
0.9969,16.0,3.28,5,192
0.9964,7.0,3.28,5,193
0.9964,7.0,3.28,5,194
0.9968,24.0,3.25,5,195
0.9968,15.0,3.46,5,196
0.9981,12.0,3.11,6,197
0.9924,13.0,3.57,7,198
0.9948,12.0,3.51,4,199
0.99695,9.0,3.22,7,200
0.9975,39.0,3.04,5,201
0.99545,16.0,3.36,5,202
0.9961,16.0,3.34,5,203
0.99615,14.0,3.34,6,204
0.9994,9.0,3.2,7,205
0.9994,9.0,3.2,7,206
0.99625,26.0,3.29,5,207
0.9966,18.0,3.22,5,208
0.998,7.0,3.31,7,209
0.99585,5.0,3.3,6,210
0.99685,10.0,3.35,6,211
0.998,5.0,3.21,6,212
0.9959,28.0,3.3,5,213
0.9974,10.0,3.24,6,214
0.9974,26.0,3.34,5,215
0.9962,13.0,3.14,5,216
0.9967,11.0,3.36,5,217
0.9957,10.0,3.39,5,218
0.99655,24.0,3.3,5,219
0.9964,24.0,3.34,6,220
0.9957,16.0,3.15,5,221
0.99525,5.0,3.42,5,222
0.99815,8.0,3.28,6,223
0.99745,15.0,3.31,4,224
0.99615,29.0,3.37,6,225
0.9964,27.0,3.04,6,226
0.9984,9.0,3.39,5,227
0.99615,29.0,3.37,6,228
0.99685,10.0,3.46,5,229
0.9927,19.0,3.54,7,230
0.99625,12.0,3.37,6,231
0.998,18.0,3.34,6,232
0.99685,10.0,3.46,5,233
0.99685,7.0,3.32,6,234
0.99675,14.0,3.37,6,235
0.99675,14.0,3.37,6,236
0.99675,15.0,3.37,6,237
0.99675,14.0,3.37,6,238
0.99685,7.0,3.32,6,239
0.9971,5.0,3.0,5,240
0.99925,6.0,3.14,6,241
0.99565,28.0,3.08,6,242
1.00005,10.0,3.07,7,243
1.00005,10.0,3.07,7,244
0.9983,6.0,3.61,6,245
0.99685,16.0,3.38,5,246
0.9963,11.0,3.2,5,247
0.99615,9.0,3.35,6,248
0.9983,6.0,3.61,6,249
0.9985,16.0,3.22,6,250
0.9972,16.0,3.47,6,251
0.9986,5.0,3.17,5,252
0.9959,8.0,3.23,5,253
0.9972,16.0,3.47,6,254
0.99675,17.0,3.26,5,255
0.998,5.0,3.22,5,256
0.9968,12.0,3.49,5,257
0.9968,8.0,3.06,5,258
0.99965,14.0,3.36,7,259
0.99625,18.0,3.29,5,260
0.99565,12.0,3.35,4,261
0.99575,10.0,3.34,5,262
0.9963,23.0,3.28,5,263
0.9999,5.0,3.08,5,264
0.9968,6.0,3.2,7,265
1.00025,26.0,3.6,4,266
0.9973,15.0,3.35,8,267
0.9987,7.0,3.69,6,268
0.9996,4.0,3.28,6,269
0.9965,27.0,3.36,6,270
0.9996,4.0,3.28,6,271
0.99935,17.0,3.22,5,272
0.99735,10.0,3.31,5,273
0.99915,27.0,3.38,5,274
0.9965,27.0,3.36,6,275
0.9987,7.0,3.69,6,276
0.9996,4.0,3.28,6,277
0.9976,5.0,3.23,8,278
0.9991,10.0,3.38,7,279
0.9986,6.0,3.12,6,280
0.9972,5.0,3.25,7,281
0.9971,12.0,3.36,5,282
0.9991,10.0,3.38,7,283
1.00015,32.0,3.31,5,284
1.00015,32.0,3.31,5,285
0.9997,25.0,3.1,6,286
0.9967,29.0,3.37,6,287
0.9976,20.0,3.34,7,288
1.001,33.0,3.2,5,289
0.9976,20.0,3.34,7,290
0.9979,6.0,3.3,5,291
0.9994,18.0,3.22,6,292
0.9964,5.0,3.41,6,293
1.0014,17.0,3.05,6,294
1.0001,5.0,3.05,5,295
0.9981,26.0,3.16,5,296
0.99855,8.0,3.67,5,297
0.9993,5.0,3.67,5,298
0.99845,8.0,3.68,5,299
0.9965,20.0,3.38,6,300
0.9973,7.0,3.22,6,301
0.9994,12.0,3.51,5,302
0.996,5.0,3.39,5,303
0.9973,12.0,3.2,5,304
0.9998,6.0,3.12,6,305
0.9966,7.0,3.36,5,306
0.9994,6.0,3.19,6,307
0.9994,5.0,3.19,6,308
0.9968,9.0,3.41,6,309
0.9998,6.0,3.12,6,310
0.996,15.0,3.27,6,311
0.99815,19.0,3.32,6,312
0.9976,30.0,3.3,5,313
0.99645,26.0,3.39,5,314
0.9962,20.0,3.42,6,315
0.9996,37.0,3.3,5,316
0.99865,30.0,3.3,6,317
0.9989,21.0,3.37,7,318
0.99865,30.0,3.3,6,319
0.9989,21.0,3.37,7,320
0.99975,25.0,3.24,5,321
0.99735,6.0,3.29,5,322
0.999,35.0,3.28,6,323
1.0015,13.0,3.16,6,324
1.0015,13.0,3.16,6,325
0.9978,6.0,3.05,7,326
0.998,5.0,3.28,5,327
1.0002,6.0,3.16,6,328
0.9981,7.0,3.18,5,329
0.998,10.0,3.23,6,330
0.998,10.0,3.23,6,331
0.9973,21.0,3.22,6,332
0.9958,16.0,3.13,5,333
0.9963,17.0,3.34,7,334
0.9992,7.0,3.17,7,335
0.9948,6.0,3.35,6,336
0.9974,29.0,3.31,5,337
1.0008,28.0,3.16,6,338
0.9997,12.0,3.11,7,339
1.0,10.0,3.12,6,340
0.9972,5.0,3.21,6,341
0.9982,6.0,3.3,6,342
0.9982,6.0,3.3,6,343
1.0006,6.0,3.12,6,344
0.9979,40.0,3.6,5,345
0.9955,17.0,3.58,7,346
0.9986,6.0,3.02,6,347
0.9979,15.0,3.11,6,348
0.9994,11.0,3.36,6,349
1.0004,17.0,3.28,6,350
0.9994,11.0,3.35,6,351
0.9974,8.0,3.27,5,352
1.0018,23.0,3.18,5,353
0.9912,40.5,3.25,6,354
0.9955,17.0,3.55,6,355
1.0001,29.0,3.26,5,356
0.997,12.0,3.24,7,357
1.0,10.0,3.15,7,358
1.001,10.0,3.17,6,359
0.9973,14.0,3.19,5,360
0.9982,21.0,3.37,6,361
0.9992,6.0,3.05,5,362
0.9988,6.0,2.99,5,363
1.0022,7.0,3.07,7,364
0.9979,7.0,3.26,6,365
1.0022,7.0,3.07,7,366
1.0,11.0,3.16,5,367
0.9998,15.0,3.18,5,368
0.9962,6.0,3.2,7,369
0.9975,35.0,3.57,5,370
0.9967,11.0,3.32,6,371
0.9967,26.0,3.32,6,372
0.9959,12.0,3.05,5,373
1.0014,6.0,3.01,6,374
0.9984,6.0,3.01,7,375
1.0003,19.0,3.26,6,376
0.9962,6.0,3.2,7,377
0.9988,6.0,3.11,6,378
0.9979,24.0,3.31,6,379
0.9974,11.0,3.21,6,380
1.0014,17.0,3.06,6,381
0.9974,11.0,3.21,6,382
0.9974,11.0,3.21,6,383
0.998,23.0,3.42,5,384
0.9979,11.0,3.43,6,385
0.9981,23.0,3.41,6,386
0.9972,17.0,3.31,6,387
0.9981,23.0,3.43,6,388
0.9982,16.0,3.19,7,389
0.9924,12.0,3.56,8,390
1.0014,17.0,3.06,6,391
0.998,6.0,3.18,5,392
0.997,13.0,3.16,5,393
0.9997,6.0,3.03,5,394
1.0004,7.0,3.22,7,395
0.9994,68.0,3.47,5,396
0.9988,13.0,3.18,6,397
0.9988,13.0,3.18,6,398
0.9963,9.0,3.1,5,399
0.9994,68.0,3.47,5,400
0.9949,20.0,3.29,6,401
1.0,19.0,3.1,6,402
0.9994,10.0,3.15,6,403
0.9974,15.0,3.26,5,404
0.9966,11.0,3.36,6,405
0.9981,9.0,3.24,6,406
0.9996,12.0,3.18,7,407
0.997,6.0,3.19,6,408
0.9981,26.0,3.05,4,409
0.9987,26.0,3.38,6,410
0.9987,23.0,3.38,5,411
0.9966,15.0,3.27,5,412
0.9986,6.0,3.27,7,413
0.9982,24.0,3.26,5,414
1.0014,31.0,3.32,5,415
0.997,6.0,3.26,6,416
0.9956,34.0,3.44,5,417
0.9996,7.0,3.24,6,418
0.9976,34.0,3.62,5,419
0.9972,35.0,3.28,7,420
0.9952,32.0,3.52,7,421
0.9955,15.0,3.36,5,422
0.9978,6.0,3.15,7,423
0.9955,15.0,3.36,5,424
0.9952,32.0,3.52,7,425
0.9949,19.0,3.49,6,426
0.9988,6.0,3.26,6,427
0.9978,9.0,3.24,5,428
0.9997,13.0,3.1,6,429
0.9978,6.0,3.15,7,430
0.9974,21.0,3.25,5,431
0.9958,12.0,3.0,6,432
1.0004,6.0,3.16,5,433
0.9996,22.0,3.15,6,434
1.0004,6.0,3.16,5,435
0.9958,38.0,3.26,6,436
0.9986,6.0,3.17,6,437
0.9996,22.0,3.15,6,438
0.9951,7.0,3.08,5,439
0.9987,6.0,2.88,8,440
0.9988,7.0,3.06,6,441
1.0032,6.0,2.95,7,442
0.9963,11.0,3.23,7,443
0.9934,5.0,3.57,7,444
0.9986,6.0,3.23,6,445
0.9996,31.0,3.1,5,446
0.9968,6.0,3.22,5,447
0.9967,7.0,3.2,6,448
0.9994,17.0,3.1,6,449
0.9994,17.0,3.1,6,450
0.9979,9.0,3.06,6,451
0.9968,18.0,3.44,6,452
0.9998,5.0,3.26,7,453
0.9952,21.0,3.5,5,454
0.9988,6.0,3.22,8,455
0.9986,5.0,3.37,5,456
0.9988,29.0,3.28,5,457
0.9998,5.0,3.26,7,458
1.0008,10.0,3.25,3,459
0.9976,14.0,3.35,6,460
0.9982,6.0,3.26,5,461
0.997,10.0,3.18,5,462
0.9972,25.0,3.08,5,463
0.9987,5.0,2.98,6,464
1.0006,10.0,3.48,5,465
0.9982,21.0,3.16,6,466
0.9947,7.0,3.32,6,467
1.0,6.0,3.17,6,468
0.9952,36.0,3.2,5,469
0.9996,15.0,3.05,5,470
0.997,25.0,3.2,6,471
0.9995,25.0,3.15,6,472
0.9971,5.0,3.26,5,473
0.9982,10.0,3.2,6,474
0.9988,5.0,3.14,5,475
0.998,6.0,3.28,5,476
0.9977,6.0,3.18,6,477
0.9988,5.0,3.14,5,478
0.9984,6.0,3.19,6,479
1.0026,6.0,3.12,5,480
0.9964,6.0,3.15,8,481
0.9986,6.0,3.04,5,482
0.9986,7.0,3.04,5,483
0.997,6.0,3.06,6,484
0.9976,6.0,3.17,5,485
0.9976,6.0,3.17,5,486
0.9982,5.0,3.17,6,487
1.0002,35.0,3.32,7,488
0.9984,10.0,3.34,6,489
0.9984,24.0,3.31,6,490
0.9952,12.0,3.34,7,491
0.995,13.0,3.32,7,492
1.0002,23.0,3.48,6,493
0.9952,28.0,3.44,6,494
0.9972,5.0,3.15,8,495
0.9984,14.0,3.43,6,496
0.9966,43.0,3.32,5,497
0.9972,5.0,3.15,8,498
1.0002,23.0,3.48,6,499
0.9984,14.0,3.43,6,500
0.999,38.0,3.17,7,501
0.999,38.0,3.17,7,502
0.9976,6.0,3.18,7,503
0.9976,6.0,3.21,7,504
0.9968,10.0,3.16,7,505
0.9976,6.0,3.25,7,506
1.0,6.0,3.17,6,507
0.9994,26.0,3.18,6,508
0.9986,23.0,3.04,7,509
0.9978,19.0,3.02,5,510
0.9994,26.0,3.18,6,511
0.998,15.0,3.03,6,512
0.9973,6.0,3.09,7,513
0.9973,6.0,3.09,7,514
1.001,34.0,3.31,5,515
1.001,5.0,3.25,6,516
0.9994,5.0,3.16,3,517
0.9972,11.0,3.22,6,518
0.9966,39.0,3.36,5,519
0.9982,15.0,3.42,6,520
0.998,16.0,3.48,5,521
0.9979,47.0,3.38,5,522
0.9978,38.0,3.22,5,523
0.9976,23.0,3.23,5,524
0.9998,29.0,3.24,5,525
0.9966,39.0,3.36,5,526
0.9962,33.0,3.39,6,527
0.9988,32.0,3.34,6,528
0.9974,6.0,3.09,5,529
0.999,1.0,3.41,6,530
1.0004,12.0,3.16,5,531
1.0004,12.0,3.16,5,532
0.9956,15.0,3.22,6,533
1.0,13.0,3.28,6,534
0.999,1.0,3.41,6,535
0.9974,6.0,3.09,5,536
0.9972,5.0,3.37,6,537
1.0014,5.0,3.2,7,538
0.9996,5.0,3.22,5,539
0.9988,20.0,3.26,5,540
0.9988,5.0,3.21,6,541
0.9966,5.0,3.12,5,542
0.9993,16.0,3.06,6,543
1.0008,6.0,2.86,6,544
0.9982,38.0,3.08,5,545
0.9983,10.0,3.45,6,546
0.9987,6.0,3.26,6,547
0.9994,27.0,3.12,6,548
0.9975,6.0,3.27,6,549
0.9958,9.0,3.33,6,550
0.998,14.0,3.19,6,551
0.998,14.0,3.12,6,552
0.9934,32.0,3.74,5,553
1.00315,10.0,2.92,5,554
1.00315,10.0,2.92,5,555
1.0002,10.0,3.07,6,556
1.00315,10.0,2.92,5,557
1.0002,10.0,3.07,6,558
1.0021,6.0,3.3,6,559
0.9994,5.0,3.14,5,560
0.9978,26.0,3.23,5,561
0.9982,41.0,3.08,5,562
0.9971,25.0,3.31,6,563
1.0021,6.0,3.3,6,564
0.9994,5.0,3.14,5,565
0.9991,5.0,3.32,6,566
0.9991,5.0,3.32,6,567
0.999,5.0,3.31,6,568
0.9946,19.0,3.57,6,569
1.0003,10.0,3.32,6,570
0.9946,19.0,3.57,6,571
0.9978,10.0,3.14,5,572
0.9991,14.0,3.3,4,573
0.9992,20.0,3.19,6,574
0.9993,28.0,3.2,6,575
0.9978,6.0,3.34,4,576
0.9982,18.0,3.3,5,577
0.9982,17.0,3.29,5,578
0.9976,18.0,3.14,6,579
1.0002,5.0,3.19,5,580
1.0002,5.0,3.19,5,581
1.0,5.0,3.19,5,582
0.9976,10.0,2.98,7,583
1.0002,54.0,3.3,7,584
0.998,8.0,3.47,6,585
0.9986,16.0,3.12,7,586
0.9967,18.0,3.26,5,587
0.9917,19.0,3.72,8,588
0.9976,5.0,3.05,7,589
0.9987,21.0,3.35,5,590
0.9922,23.0,3.12,6,591
0.9987,21.0,3.35,5,592
1.0004,9.0,3.29,5,593
0.9978,20.0,3.4,5,594
0.9998,30.0,3.27,5,595
0.9994,6.0,3.04,6,596
0.998,5.0,3.09,6,597
0.9967,5.0,3.2,6,598
1.0,11.0,3.0,6,599
0.9962,7.0,3.26,4,600
1.0006,12.0,3.1,6,601
0.9975,6.0,3.3,5,602
1.0006,12.0,3.1,6,603
0.9984,14.0,3.17,6,604
0.9984,6.0,3.31,6,605
0.9973,10.0,3.34,7,606
0.9982,26.0,3.31,6,607
1.0026,11.0,3.32,6,608
0.9956,15.0,3.56,6,609
0.9983,25.0,3.39,5,610
1.0006,5.0,2.98,5,611
0.9965,18.0,3.32,6,612
0.9962,10.0,3.26,5,613
0.9969,10.0,2.87,6,614
0.9997,28.0,3.5,5,615
0.9997,28.0,3.5,5,616
0.9982,14.0,3.03,6,617
1.0006,4.0,3.13,5,618
0.9988,6.0,3.09,5,619
0.9976,16.0,3.27,5,620
0.9976,14.0,3.28,5,621
0.9974,9.0,3.13,5,622
0.9974,21.0,3.49,6,623
0.9997,21.0,3.46,5,624
0.9997,21.0,3.46,5,625
0.9988,5.0,3.36,5,626
0.9988,5.0,3.36,5,627
0.9976,7.0,3.27,6,628
0.9964,20.0,3.21,5,629
0.9976,7.0,3.27,6,630
0.9988,5.0,3.25,5,631
0.9964,21.0,3.32,6,632
1.001,11.0,3.43,4,633
0.9964,46.0,3.27,5,634
0.9954,24.0,3.27,5,635
0.9979,30.0,3.24,5,636
0.9978,31.0,3.24,5,637
0.9964,7.0,3.35,7,638
0.997,25.0,3.18,6,639
0.9991,16.0,3.39,5,640
0.9992,21.0,3.46,5,641
0.9991,16.0,3.39,5,642
0.9992,21.0,3.46,5,643
0.9991,16.0,3.39,5,644
0.9984,5.0,3.37,7,645
0.9972,6.0,3.4,5,646
0.9967,5.0,3.32,4,647
0.9964,10.0,3.33,7,648
0.9948,24.0,3.16,6,649
0.9986,8.0,2.89,5,650
1.001,35.0,3.41,5,651
0.9976,22.0,2.98,5,652
0.9976,9.0,3.12,6,653
0.9979,7.0,3.08,5,654
1.0004,20.0,3.14,5,655
0.9986,8.0,2.89,5,656
0.998,23.0,2.92,7,657
0.9973,5.0,3.32,6,658
0.997,5.0,3.41,4,659
0.9973,5.0,3.32,6,660
0.9978,15.0,3.31,5,661
0.9972,9.0,3.36,6,662
0.9974,5.0,3.04,6,663
1.0,15.0,3.03,5,664
0.9981,25.0,3.14,5,665
0.998,6.0,3.18,6,666
0.9988,6.0,2.94,6,667
0.9966,15.0,3.15,5,668
0.9988,6.0,2.94,6,669
0.9959,30.0,3.26,5,670
0.9968,5.0,3.2,5,671
0.998,32.0,3.15,5,672
0.9968,5.0,3.2,5,673
0.9984,7.0,3.08,6,674
0.9984,12.0,3.26,5,675
0.9984,7.0,3.08,6,676
0.9979,12.0,3.4,5,677
0.9983,45.0,3.48,5,678
0.9972,20.0,3.13,5,679
1.0004,15.0,3.06,5,680
0.9962,16.0,3.21,6,681
0.998,32.0,3.33,5,682
0.997,5.0,3.37,5,683
0.998,35.0,3.25,5,684
0.997,5.0,3.37,5,685
0.997,13.0,3.44,5,686
0.9998,13.0,3.28,5,687
0.9962,4.0,3.4,5,688
0.9976,5.0,3.3,5,689
0.9966,5.0,3.63,3,690
0.9998,12.0,3.48,5,691
0.9979,16.0,3.03,5,692
0.9984,21.0,3.32,5,693
0.9984,24.0,3.31,5,694
0.9921,18.0,3.9,6,695
0.9972,8.0,3.47,6,696
0.9972,8.0,3.47,6,697
1.0001,18.0,3.31,5,698
0.9986,5.0,3.11,6,699
0.9984,26.0,3.08,6,700
0.9972,8.0,3.47,6,701
0.997,9.0,3.47,6,702
0.9972,22.0,3.32,4,703
0.998,4.0,3.29,4,704
0.999,11.0,3.37,5,705
0.9956,10.0,3.4,5,706
0.9966,16.0,3.37,5,707
0.996,11.0,3.34,6,708
0.9983,13.0,3.27,6,709
0.9985,21.0,3.06,5,710
0.9998,16.0,3.38,5,711
0.9992,13.0,3.36,5,712
0.9976,10.0,3.34,5,713
0.998,21.0,3.28,5,714
0.9967,13.0,3.29,6,715
0.9976,10.0,3.34,5,716
0.9968,12.0,3.21,5,717
0.9976,10.0,3.22,5,718
0.9976,17.0,3.46,5,719
0.9976,10.0,3.22,5,720
0.9982,35.0,3.1,5,721
0.9968,15.0,3.21,5,722
0.9965,36.0,2.94,5,723
0.9958,5.0,3.54,4,724
0.9976,5.0,3.29,5,725
0.9994,18.0,3.43,6,726
0.997,4.0,3.46,5,727
0.997,4.0,3.46,5,728
0.995,27.0,3.61,6,729
0.9982,12.0,3.17,5,730
0.9994,4.0,3.44,5,731
0.9966,10.0,3.39,5,732
0.998,16.0,3.55,5,733
0.9987,9.0,3.48,5,734
0.9963,11.0,3.26,5,735
0.9963,11.0,3.26,5,736
1.0002,19.0,3.5,6,737
0.9983,28.0,3.1,5,738
0.999,19.0,3.35,5,739
0.9965,12.0,3.45,6,740
0.99788,28.0,3.21,5,741
0.9972,9.0,3.46,5,742
1.00024,25.0,3.13,5,743
1.0001,21.0,3.13,5,744
0.99768,12.0,3.52,6,745
0.9978,12.0,3.3,6,746
0.99782,16.0,3.3,5,747
0.99761,12.0,3.52,6,748
0.99768,12.0,3.52,6,749
0.99803,17.0,3.29,5,750
0.99803,17.0,3.29,5,751
0.99785,24.0,3.39,5,752
0.99803,17.0,3.29,5,753
0.99656,14.0,3.09,6,754
0.99525,22.0,3.51,6,755
0.99488,15.0,3.6,6,756
0.99656,10.0,3.25,5,757
0.99656,10.0,3.25,5,758
0.99823,33.0,3.19,5,759
0.99779,9.0,3.23,5,760
0.99738,5.0,3.25,5,761
0.99701,8.0,3.31,6,762
0.99738,5.0,3.25,5,763
0.99888,11.0,3.31,6,764
0.99888,12.0,3.31,6,765
0.99738,12.0,3.14,5,766
0.99938,13.0,3.45,5,767
0.99744,24.0,3.55,6,768
0.99668,7.0,3.39,5,769
0.99744,24.0,3.55,6,770
0.9978,23.0,3.28,5,771
0.99782,23.0,3.27,5,772
0.9973,1.0,3.3,6,773
0.99727,2.0,3.31,6,774
0.99586,7.0,3.43,5,775
0.99612,5.5,3.4,6,776
0.9961,6.0,3.4,6,777
0.99788,7.0,3.36,5,778
0.99745,21.0,3.5,5,779
0.99676,12.0,3.31,6,780
0.99732,9.0,3.66,5,781
0.99814,26.0,3.36,5,782
0.99732,9.0,3.66,5,783
0.99746,20.0,3.55,5,784
0.9982,11.0,3.21,5,785
0.9982,11.0,3.21,5,786
0.9991,19.0,3.18,6,787
0.9991,19.0,3.18,6,788
0.998,21.0,3.09,5,789
0.99708,18.0,3.33,6,790
0.99818,25.0,3.23,5,791
0.99745,17.0,3.48,6,792
0.99639,7.0,3.38,5,793
0.99531,7.0,3.17,6,794
0.99786,7.0,2.99,5,795
0.99746,24.0,3.1,5,796
0.99526,21.0,3.24,7,797
0.9987,5.0,3.29,6,798
0.9987,5.0,3.29,6,799
0.99641,26.0,3.25,5,800
0.99735,8.0,3.23,5,801
0.99264,14.0,3.56,7,802
0.9971,14.0,3.24,6,803
0.99682,4.0,3.26,6,804
0.99356,4.0,3.33,7,805
0.99386,4.0,3.27,7,806
0.99356,4.0,3.33,7,807
0.99702,4.0,3.26,5,808
0.99693,4.0,3.22,6,809
0.99562,4.0,3.3,5,810
1.00012,7.0,3.09,6,811
0.99818,20.0,3.24,5,812
0.99462,4.0,3.44,4,813
0.99939,19.0,3.21,6,814
0.99818,20.0,3.24,5,815
0.9984,8.0,3.23,6,816
0.99545,19.0,3.28,6,817
0.99632,21.0,3.29,5,818
0.99976,9.0,3.28,5,819
0.99606,9.0,3.34,5,820
0.99154,16.0,3.71,7,821
0.9973,15.0,3.61,5,822
0.9973,15.0,3.61,5,823
0.99682,6.0,3.24,5,824
